"id","date","record","title","fileUrl","type","result","recordUrl","detailsUrl","videoUrl","affirmativeCount","negativeCount","abstentionCount","absentCount"
882,"2012-11-28",20,"Temas Varios O.D. S-915/12-PL, O.D. 679/2012","/parlamentario/comisiones/verExp/915.12/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/882","/votaciones/detalleActa/882",,47,0,0,25
883,"2012-11-28",21,"Temas Varios O.D. S-909/12-PL, O.D. 1112/2012","/parlamentario/comisiones/verExp/909.12/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/883","/votaciones/detalleActa/883",,47,0,0,25
884,"2012-11-28",22,"Temas Varios O.D. CD-7/11-PL, O.D. 654/2012","/parlamentario/comisiones/verExp/7.11/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/884","/votaciones/detalleActa/884",,47,0,0,25
885,"2012-11-28",23,"Temas Varios O.D. S-2903/11-PL, O.D. 1366/2012","/parlamentario/comisiones/verExp/2903.11/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/885","/votaciones/detalleActa/885",,46,0,0,26
886,"2012-11-28",24,"Temas Varios O.D. CD-71/12-PL, O.D. 1310/2012","/parlamentario/comisiones/verExp/71.12/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/886","/votaciones/detalleActa/886",,46,0,0,26
887,"2012-11-28",25,"Temas Varios O.D. CD-30/12-PL, O.D. 1143/2012","/parlamentario/comisiones/verExp/30.12/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/887","/votaciones/detalleActa/887",,43,0,0,29
888,"2012-11-28",26,"Temas Varios O.D. S-762/11-PL, O.D. 149/2012","/parlamentario/comisiones/verExp/762.11/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/888","/votaciones/detalleActa/888",,43,0,0,29
889,"2012-11-28",27,"Temas Varios O.D. S-674/12-PL, O.D. 1122/2012","/parlamentario/comisiones/verExp/674.12/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/889","/votaciones/detalleActa/889",,43,0,0,29
890,"2012-11-28",28,"Temas Varios Expedientes ( CD-110/12-PL, CD-61/11-PL, CD-106/12-PL, CD-53/12-PL, CD-134/12-PL, CD-5/11-PL, S-2990/12-PL, S-2664/12-PL, S-2941/12-PL, S-3320/12-PL, S-1373/12-PL, CD-66/11-PL, S-78/12-PL, CD-73/11-PL, S-1490/12-PL, S-1329/11-PL","/parlamentario/comisiones/verExp/110.12/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/890","/votaciones/detalleActa/890",,53,0,0,19
891,"2012-11-28",29,"MORALES: PROYECTO DE LEY DECLARANDO LA EMERGENCIA HABITACIONAL Y DE INFRAESTRUCTURA SOCIAL BASICA EN LA PROVINCIA DE JUJUY. S-2089/11-PL","/parlamentario/comisiones/verExp/2089.11/S/PL","EN GENERAL Y EN PARTICULAR","NEGATIVO","/votaciones/verActaVotacion/891","/votaciones/detalleActa/891",,17,34,0,21
828,"2012-11-14",1,"COMISION BICAMERAL DE PROMOCION Y SEGUIMIENTO DE LA COMUNICACIÓN AUDIOVISUAL : COMUNICA RESOLUCION DESIGNANDO A LA SRA. CYNTHIA OTTAVIANO COMO DEFENSORA DEL PUBLICO DE SERVICIOS DE COMUNICACIÓN AUDIOVISUAL, SEGÚN LO DISPUESTO POR EL ART. 20 DE LA LEY 26.522. S-3933/12-CC","/parlamentario/comisiones/verExp/3933.12/S/CC","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/828","/votaciones/detalleActa/828",,39,22,0,11
829,"2012-11-14",2,"PROYECTO DE LEY EN REVISION MODIFICANDO LA LEY 24.660 ( DE EJECUCION DE LA PENA PRIVATIVA DE LA LIBERTAD), ESTABLECIENDO UN REGIMEN COMPLEMENTARIO DE REINSERCION PARA CONDENADOS POR DELITOS CONTRA LA INTEGRIDAD SEXUAL. CD-55/11-PL","/parlamentario/comisiones/verExp/55.11/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/829","/votaciones/detalleActa/829",,64,0,0,8
830,"2012-11-14",3,"Temas Varios Expedientes ( S-55/12-PL, CD-66/12-PL, CD-98/12-PL","/parlamentario/comisiones/verExp/55.12/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/830","/votaciones/detalleActa/830",,52,0,0,20
831,"2012-11-14",4,"PROYECTO DE LEY EN REVISION ESTABLECIENDO EL SISTEMA NACIONAL DE PREVENCION DE LA TORTURA Y OTROS TRATOS O PENAS CRUELES, INHUMANOS O DEGRADANTES. CD-51/11-PL","/parlamentario/comisiones/verExp/51.11/CD/PL","EN GENERAL","AFIRMATIVO","/votaciones/verActaVotacion/831","/votaciones/detalleActa/831",,59,0,0,13
832,"2012-11-14",5,"PROYECTO DE LEY EN REVISION ESTABLECIENDO EL SISTEMA NACIONAL DE PREVENCION DE LA TORTURA Y OTROS TRATOS O PENAS CRUELES, INHUMANOS O DEGRADANTES. CD-51/11-PL, Art. 11, Art. 12, Art. 14, Art. 18, Art. 19, Art. 20, Art. 27","/parlamentario/comisiones/verExp/51.11/CD/PL","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/832","/votaciones/detalleActa/832",,37,22,0,13
833,"2012-11-14",6,"PROYECTO DE LEY EN REVISION ESTABLECIENDO EL SISTEMA NACIONAL DE PREVENCION DE LA TORTURA Y OTROS TRATOS O PENAS CRUELES, INHUMANOS O DEGRADANTES. CD-51/11-PL, Art. Tit I Cap I y II, Art. Tit II Cap I II III, Art. Tit II Cap IV Art 13, Art. Tit II Cap IV Art 15, Art. Tit II Cap IV Art 16, Art. Tit II Cap IV Art 17, Art. Tit II Cap VI Art 26, Art. Tit II Cap VI Art 28, Art. Tit II Cap VI Art 29, Art. Tit II Cap VI Art 30, Art. Tit II Cap VI Art 31, Art. Tit III, Art. Tit IV, Art. Tit V, Art. Tit II Cap V","/parlamentario/comisiones/verExp/51.11/CD/PL","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/833","/votaciones/detalleActa/833",,59,0,0,13
834,"2012-11-14",7,"PICHETTO Y OTROS: PROYECTO DE LEY DENOMINANDO CON EL NOMBRE DE ""PRESIDENTE DR. NESTOR CARLOS KIRCHNER"" AL CENTRO CULTURAL DEL BICENTENARIO, UBICADO EN LA CIUDAD AUTONOMA DE BUENOS AIRES. O.D. 1299/2012","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/1299","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/834","/votaciones/detalleActa/834",,56,2,0,14
